enrollment_id,student_id,course_id,semester_id
1,1,1,1
2,1,2,1
3,1,9,1
4,1,31,1
5,1,33,1
6,1,34,1
7,1,3,2
8,1,4,2
9,1,10,2
10,1,32,2
11,1,5,3
12,1,6,3
13,1,7,4
14,1,8,4
15,2,1,1
16,2,2,1
17,2,9,1
18,2,31,1
19,2,33,1
20,2,34,1
21,2,3,2
22,2,4,2
23,2,10,2
24,2,32,2
25,2,5,3
26,2,6,3
27,2,7,4
28,2,8,4
29,3,1,1
30,3,2,1
31,3,9,1
32,3,31,1
33,3,33,1
34,3,34,1
35,3,3,2
36,3,4,2
37,3,10,2
38,3,32,2
39,3,5,3
40,3,6,3
41,3,7,4
42,3,8,4
43,4,1,1
44,4,2,1
45,4,9,1
46,4,31,1
47,4,33,1
48,4,34,1
49,4,3,2
50,4,4,2
51,4,10,2
52,4,32,2
53,4,5,3
54,4,6,3
55,4,7,4
56,4,8,4
57,5,1,1
58,5,2,1
59,5,9,1
60,5,31,1
61,5,33,1
62,5,34,1
63,5,3,2
64,5,4,2
65,5,10,2
66,5,32,2
67,5,5,3
68,5,6,3
69,5,7,4
70,5,8,4
71,6,1,1
72,6,2,1
73,6,9,1
74,6,31,1
75,6,33,1
76,6,34,1
77,6,3,2
78,6,4,2
79,6,10,2
80,6,32,2
81,6,5,3
82,6,6,3
83,6,7,4
84,6,8,4
85,7,1,1
86,7,2,1
87,7,9,1
88,7,31,1
89,7,33,1
90,7,34,1
91,7,3,2
92,7,4,2
93,7,10,2
94,7,32,2
95,7,5,3
96,7,6,3
97,7,7,4
98,7,8,4
99,8,1,1
100,8,2,1
101,8,9,1
102,8,31,1
103,8,33,1
104,8,34,1
105,8,3,2
106,8,4,2
107,8,10,2
108,8,32,2
109,8,5,3
110,8,6,3
111,8,7,4
112,8,8,4
113,9,1,1
114,9,2,1
115,9,9,1
116,9,31,1
117,9,33,1
118,9,34,1
119,9,3,2
120,9,4,2
121,9,10,2
122,9,32,2
123,9,5,3
124,9,6,3
125,9,7,4
126,9,8,4
127,10,1,1
128,10,2,1
129,10,9,1
130,10,31,1
131,10,33,1
132,10,34,1
133,10,3,2
134,10,4,2
135,10,10,2
136,10,32,2
137,10,5,3
138,10,6,3
139,10,7,4
140,10,8,4
