attendance_id,enrollment_id,total_classes,classes_attended
1,1,90,88
2,2,92,92
3,3,93,75
4,4,86,86
5,5,90,90
6,6,89,89
7,7,92,84
8,8,92,92
9,9,98,84
10,10,89,84
11,11,99,95
12,12,86,86
13,13,85,85
14,14,100,94
15,15,90,67
16,16,80,59
17,17,83,67
18,18,77,70
19,19,93,61
20,20,90,88
21,21,94,62
22,22,86,86
23,23,95,83
24,24,81,81
25,25,93,65
26,26,73,70
27,27,89,88
28,28,79,59
29,29,82,79
30,30,84,81
31,31,97,89
32,32,93,87
33,33,80,80
34,34,91,84
35,35,93,92
36,36,99,82
37,37,95,75
38,38,92,80
39,39,99,92
40,40,98,96
41,41,84,84
42,42,90,81
43,43,93,83
44,44,97,76
45,45,100,77
46,46,80,80
47,47,84,82
48,48,98,81
49,49,91,80
50,50,83,80
51,51,80,80
52,52,92,87
53,53,98,95
54,54,89,89
55,55,98,76
56,56,91,77
57,57,83,83
58,58,94,79
59,59,100,83
60,60,95,89
61,61,88,85
62,62,82,82
63,63,94,93
64,64,80,80
65,65,86,86
66,66,99,83
67,67,86,77
68,68,97,82
69,69,95,89
70,70,87,87
71,71,96,86
72,72,90,86
73,73,88,82
74,74,83,83
75,75,86,81
76,76,98,91
77,77,86,84
78,78,80,80
79,79,81,81
80,80,100,90
81,81,89,89
82,82,81,81
83,83,82,82
84,84,81,79
85,85,82,81
86,86,72,72
87,87,74,74
88,88,84,61
89,89,71,71
90,90,70,59
91,91,87,85
92,92,87,73
93,93,86,69
94,94,85,67
95,95,85,64
96,96,67,58
97,97,88,73
98,98,74,74
99,99,66,66
100,100,65,60
101,101,92,56
102,102,73,57
103,103,81,81
104,104,83,82
105,105,67,67
106,106,86,61
107,107,87,86
108,108,91,57
109,109,75,62
110,110,81,55
111,111,78,58
112,112,89,86
113,113,84,84
114,114,83,75
115,115,87,80
116,116,93,77
117,117,83,83
118,118,84,84
119,119,88,88
120,120,87,87
121,121,99,91
122,122,82,82
123,123,90,90
124,124,89,89
125,125,84,84
126,126,97,92
127,127,72,72
128,128,66,66
129,129,90,79
130,130,91,64
131,131,81,76
132,132,79,61
133,133,88,64
134,134,69,59
135,135,75,75
136,136,92,79
137,137,93,86
138,138,67,67
139,139,72,60
140,140,85,61
141,141,60,38
142,142,49,49
143,143,51,45
144,144,64,50
145,145,54,54
146,146,40,40
147,147,50,39
148,148,77,54
149,149,56,56
150,150,64,64
151,151,62,53
152,152,65,52
153,153,43,43
154,154,54,54
155,155,48,41
156,156,59,59
157,157,48,40
158,158,66,46
159,159,63,63
160,160,50,50
161,161,58,56
162,162,44,44
163,163,65,65
164,164,40,40
165,165,56,56
166,166,46,46
167,167,75,55
168,168,44,44
169,169,89,89
170,170,97,79
171,171,97,88
172,172,93,93
173,173,93,83
174,174,94,89
175,175,83,83
176,176,100,86
177,177,83,83
178,178,100,94
179,179,90,82
180,180,86,77
181,181,98,81
182,182,84,84
183,183,90,66
184,184,69,55
185,185,83,75
186,186,69,69
187,187,80,80
188,188,68,68
189,189,66,66
190,190,65,58
191,191,78,61
192,192,67,60
193,193,69,69
194,194,87,75
195,195,74,74
196,196,90,62
197,197,54,54
198,198,66,41
199,199,56,56
200,200,70,39
201,201,67,41
202,202,48,48
203,203,75,56
204,204,67,38
205,205,62,41
206,206,70,49
207,207,75,58
208,208,54,54
209,209,75,36
210,210,57,36
211,211,91,75
212,212,92,77
213,213,80,77
214,214,93,89
215,215,90,90
216,216,84,80
217,217,82,82
218,218,99,89
219,219,96,78
220,220,98,90
221,221,87,87
222,222,86,84
223,223,88,84
224,224,93,80
225,225,91,77
226,226,66,66
227,227,92,75
228,228,87,81
229,229,95,75
230,230,79,78
231,231,72,72
232,232,77,74
233,233,89,65
234,234,81,81
235,235,76,64
236,236,71,66
237,237,85,59
238,238,80,80
239,239,100,95
240,240,100,85
241,241,94,94
242,242,81,81
243,243,94,76
244,244,82,82
245,245,99,94
246,246,97,76
247,247,100,81
248,248,84,76
249,249,90,77
250,250,87,87
251,251,99,80
252,252,92,88
253,253,67,67
254,254,74,71
255,255,94,64
256,256,69,69
257,257,86,80
258,258,67,67
259,259,75,63
260,260,88,88
261,261,81,78
262,262,95,68
263,263,71,69
264,264,74,61
265,265,88,88
266,266,89,63
267,267,89,65
268,268,76,70
269,269,89,83
270,270,95,85
271,271,86,83
272,272,77,77
273,273,91,67
274,274,73,58
275,275,82,61
276,276,68,68
277,277,79,79
278,278,95,69
279,279,94,56
280,280,76,70
281,281,46,46
282,282,58,58
283,283,70,63
284,284,41,41
285,285,78,68
286,286,55,54
287,287,69,39
288,288,78,69
289,289,55,44
290,290,62,50
291,291,45,45
292,292,73,69
293,293,75,36
294,294,64,58
295,295,88,61
296,296,75,63
297,297,91,66
298,298,87,85
299,299,67,67
300,300,90,67
301,301,74,74
302,302,80,71
303,303,74,74
304,304,85,76
305,305,78,78
306,306,77,76
307,307,80,78
308,308,90,60
309,309,82,73
310,310,86,73
311,311,78,65
312,312,66,66
313,313,85,58
314,314,76,76
315,315,95,56
316,316,90,83
317,317,89,78
318,318,66,64
319,319,76,76
320,320,81,78
321,321,72,62
322,322,81,79
323,323,71,71
324,324,71,62
325,325,70,70
326,326,95,75
327,327,82,73
328,328,87,66
329,329,68,67
330,330,80,56
331,331,79,63
332,332,74,74
333,333,81,81
334,334,67,63
335,335,79,79
336,336,93,66
337,337,83,83
338,338,90,82
339,339,89,77
340,340,97,83
341,341,97,77
342,342,98,79
343,343,99,85
344,344,80,77
345,345,98,83
346,346,93,93
347,347,100,92
348,348,95,82
349,349,89,89
350,350,94,88
351,351,60,57
352,352,63,63
353,353,69,42
354,354,46,38
355,355,66,50
356,356,60,55
357,357,72,64
358,358,41,40
359,359,55,48
360,360,58,58
361,361,70,53
362,362,67,43
363,363,65,58
364,364,75,47
365,365,89,72
366,366,84,62
367,367,76,76
368,368,69,67
369,369,66,57
370,370,90,85
371,371,93,87
372,372,75,65
373,373,91,74
374,374,81,81
375,375,91,56
376,376,78,74
377,377,87,56
378,378,85,69
379,379,84,79
380,380,66,62
381,381,78,64
382,382,81,81
383,383,66,63
384,384,86,85
385,385,70,70
386,386,76,71
387,387,72,72
388,388,74,73
389,389,80,75
390,390,94,72
391,391,82,79
392,392,76,64
393,393,94,83
394,394,71,67
395,395,82,72
396,396,83,70
397,397,81,69
398,398,78,76
399,399,89,63
400,400,94,65
401,401,93,85
402,402,95,73
403,403,94,60
404,404,88,57
405,405,93,66
406,406,91,80
407,407,93,57
408,408,68,68
409,409,82,82
410,410,92,87
411,411,68,68
412,412,73,66
413,413,74,67
414,414,93,80
415,415,67,67
416,416,69,69
417,417,73,73
418,418,95,76
419,419,65,65
420,420,66,62
421,421,89,78
422,422,91,91
423,423,95,79
424,424,91,88
425,425,97,96
426,426,99,77
427,427,91,77
428,428,97,91
429,429,85,85
430,430,86,86
431,431,94,76
432,432,94,93
433,433,89,75
434,434,86,86
435,435,81,77
436,436,89,88
437,437,100,95
438,438,92,89
439,439,92,77
440,440,97,79
441,441,85,85
442,442,87,75
443,443,94,94
444,444,92,82
445,445,88,81
446,446,83,76
447,447,80,80
448,448,81,81
449,449,72,68
450,450,69,69
451,451,94,75
452,452,91,75
453,453,86,86
454,454,66,66
455,455,80,58
456,456,86,79
457,457,78,78
458,458,89,85
459,459,92,64
460,460,82,81
461,461,69,69
462,462,85,60
463,463,81,81
464,464,81,77
465,465,97,81
466,466,90,84
467,467,86,78
468,468,87,87
469,469,87,87
470,470,94,92
471,471,91,91
472,472,95,85
473,473,93,76
474,474,84,75
475,475,98,88
476,476,87,87
477,477,75,71
478,478,88,86
479,479,76,65
480,480,70,58
481,481,67,58
482,482,91,69
483,483,71,71
484,484,85,85
485,485,82,81
486,486,73,73
487,487,86,82
488,488,68,61
489,489,84,84
490,490,90,80
491,491,87,84
492,492,100,95
493,493,92,87
494,494,80,80
495,495,100,85
496,496,83,83
497,497,98,90
498,498,88,88
499,499,90,75
500,500,92,77
501,501,98,87
502,502,92,79
503,503,82,82
504,504,83,83
505,505,78,60
506,506,57,57
507,507,64,62
508,508,64,40
509,509,55,39
510,510,49,49
511,511,40,40
512,512,46,43
513,513,75,70
514,514,45,45
515,515,60,59
516,516,45,45
517,517,76,68
518,518,48,48
519,519,88,88
520,520,91,83
521,521,95,94
522,522,84,84
523,523,99,87
524,524,90,88
525,525,99,79
526,526,86,86
527,527,90,84
528,528,98,82
529,529,92,86
530,530,98,92
531,531,80,80
532,532,89,77
533,533,86,64
534,534,67,67
535,535,77,77
536,536,78,57
537,537,93,60
538,538,86,77
539,539,83,80
540,540,90,82
541,541,72,72
542,542,87,69
543,543,89,87
544,544,80,61
545,545,67,62
546,546,76,74
547,547,83,83
548,548,82,82
549,549,80,80
550,550,85,82
551,551,90,90
552,552,92,92
553,553,93,87
554,554,86,86
555,555,86,81
556,556,82,82
557,557,85,85
558,558,88,88
559,559,100,85
560,560,98,78
561,561,87,74
562,562,86,63
563,563,68,66
564,564,77,77
565,565,78,66
566,566,94,66
567,567,69,66
568,568,66,66
569,569,71,71
570,570,80,80
571,571,91,83
572,572,65,65
573,573,82,73
574,574,88,86
575,575,82,78
576,576,89,83
577,577,68,68
578,578,79,71
579,579,79,62
580,580,90,77
581,581,78,65
582,582,91,68
583,583,82,72
584,584,87,73
585,585,92,87
586,586,68,63
587,587,94,58
588,588,69,63
589,589,92,90
590,590,100,88
591,591,82,82
592,592,91,89
593,593,80,77
594,594,91,77
595,595,93,81
596,596,89,85
597,597,95,85
598,598,81,78
599,599,80,78
600,600,94,75
601,601,84,84
602,602,88,77
603,603,100,80
604,604,87,87
605,605,80,80
606,606,87,87
