grade_id,enrollment_id,internal_marks,external_marks
1,1,20.6,59.5
2,2,22.2,49.8
3,3,25.3,57.0
4,4,19.6,53.4
5,5,18.4,62.1
6,6,22.7,67.5
7,7,23.9,61.7
8,8,23.2,53.5
9,9,25.0,50.7
10,10,20.3,62.4
11,11,26.3,66.9
12,12,23.6,61.8
13,13,18.6,57.5
14,14,28.1,59.3
15,15,19.3,48.6
16,16,19.7,42.5
17,17,11.0,45.8
18,18,18.2,30.4
19,19,22.7,52.2
20,20,19.5,33.1
21,21,14.0,42.8
22,22,12.1,44.9
23,23,24.4,39.0
24,24,14.2,29.6
25,25,21.4,29.0
26,26,18.8,28.7
27,27,20.7,33.2
28,28,16.1,40.7
29,29,21.7,67.7
30,30,26.7,60.6
31,31,27.8,57.8
32,32,23.2,57.4
33,33,28.3,49.8
34,34,24.8,55.5
35,35,25.1,41.3
36,36,24.9,46.2
37,37,22.6,55.4
38,38,21.6,61.7
39,39,28.6,41.8
40,40,28.0,56.2
41,41,29.2,56.7
42,42,26.0,59.9
43,43,25.2,48.2
44,44,26.7,48.2
45,45,27.8,55.0
46,46,25.8,45.0
47,47,25.2,56.3
48,48,28.1,62.4
49,49,22.7,56.2
50,50,18.9,43.9
51,51,26.4,54.3
52,52,19.2,48.0
53,53,26.9,53.3
54,54,25.2,65.8
55,55,23.8,52.9
56,56,23.2,61.1
57,57,28.3,44.5
58,58,29.1,52.6
59,59,20.5,59.5
60,60,20.0,44.5
61,61,20.5,59.5
62,62,28.4,44.4
63,63,26.7,51.5
64,64,22.7,50.6
65,65,26.1,51.4
66,66,25.8,48.9
67,67,21.6,52.1
68,68,25.2,62.1
69,69,23.4,45.6
70,70,25.4,52.0
71,71,22.0,51.1
72,72,20.6,60.2
73,73,24.3,49.7
74,74,26.4,58.1
75,75,29.4,51.7
76,76,24.8,49.4
77,77,18.1,43.8
78,78,25.3,59.4
79,79,25.6,56.5
80,80,23.1,70
81,81,25.4,55.7
82,82,22.3,55.9
83,83,28.2,52.1
84,84,21.1,55.5
85,85,21.6,43.9
86,86,13.4,29.0
87,87,12.6,54.9
88,88,17.1,53.1
89,89,21.6,37.8
90,90,17.8,35.1
91,91,21.3,48.5
92,92,18.3,47.0
93,93,17.7,29.5
94,94,25.3,31.9
95,95,14.5,45.7
96,96,25.3,29.8
97,97,20.7,47.4
98,98,14.8,44.2
99,99,17.4,40.2
100,100,18.5,26.5
101,101,19.8,54.8
102,102,25.0,40.0
103,103,19.2,33.8
104,104,21.2,36.8
105,105,15.9,31.3
106,106,16.9,47.4
107,107,21.2,33.0
108,108,16.7,63
109,109,15.7,42.4
110,110,23.0,38.1
111,111,16.3,29.5
112,112,20.4,48.8
113,113,27.2,56.8
114,114,20.7,59.1
115,115,29.1,53.4
116,116,24.8,56.1
117,117,25.9,68.3
118,118,29.1,51.7
119,119,27.3,52.6
120,120,29.3,38.1
121,121,22.2,52.8
122,122,25.0,51.2
123,123,25.8,41.4
124,124,25.0,55.5
125,125,21.1,50.1
126,126,22.3,53.5
127,127,26.7,19.5
128,128,19.7,57.2
129,129,18.8,24.4
130,130,14.5,49.7
131,131,17.9,40.1
132,132,24.6,25.1
133,133,14.6,38.2
134,134,14.1,47.8
135,135,8.6,45.0
136,136,14.4,24.2
137,137,24.4,36.0
138,138,19.8,38.1
139,139,12.9,23.5
140,140,17.3,41.8
141,141,13.6,30.3
142,142,12.7,37.3
143,143,7.7,25.5
144,144,17.1,40.2
145,145,7.4,28.2
146,146,10.4,19.5
147,147,19.2,16.2
148,148,8.8,28.3
149,149,9.7,16.9
150,150,15.0,19.5
151,151,16.0,28.1
152,152,16.4,21.6
153,153,21.3,20.0
154,154,16.7,0.3
155,155,14.0,44.8
156,156,19.9,19.8
157,157,18.7,30.0
158,158,17.7,23.2
159,159,16.7,44.7
160,160,10.0,27.9
161,161,23.1,12.6
162,162,15.0,14.4
163,163,13.2,17.9
164,164,7.2,38.2
165,165,6.8,19.5
166,166,17.4,0.7
167,167,4.5,21.5
168,168,14.3,15.4
169,169,29.6,68.0
170,170,26.6,58.4
171,171,22.8,59.3
172,172,20.9,49.1
173,173,27.8,59.7
174,174,27.8,56.4
175,175,30,50.8
176,176,20.7,66.2
177,177,27.2,57.1
178,178,26.7,57.6
179,179,26.0,54.6
180,180,30,54.1
181,181,26.8,47.2
182,182,25.8,50.3
183,183,24.0,39.0
184,184,25.2,52.8
185,185,14.6,53.7
186,186,22.1,40.8
187,187,12.5,37.3
188,188,19.8,28.2
189,189,9.4,39.4
190,190,17.2,53.6
191,191,26.8,39.8
192,192,10.2,41.3
193,193,18.0,45.1
194,194,15.2,30.7
195,195,15.0,49.2
196,196,14.8,39.6
197,197,17.5,20.1
198,198,11.1,37.3
199,199,12.3,36.0
200,200,21.3,23.6
201,201,15.8,30.3
202,202,13.8,18.3
203,203,23.1,34.2
204,204,10.6,16.0
205,205,19.7,22.3
206,206,10.0,21.7
207,207,14.9,14.4
208,208,15.2,27.3
209,209,18.9,0
210,210,5.6,9.7
211,211,25.5,39.3
212,212,25.7,58.5
213,213,27.7,62.7
214,214,24.9,50.1
215,215,23.4,60.7
216,216,19.9,46.8
217,217,25.0,52.8
218,218,22.0,57.6
219,219,23.2,57.5
220,220,24.2,57.8
221,221,22.5,54.0
222,222,26.0,54.8
223,223,29.8,51.0
224,224,24.8,55.8
225,225,17.6,28.7
226,226,26.2,48.7
227,227,28.0,42.6
228,228,14.4,34.0
229,229,18.0,49.9
230,230,23.6,61.4
231,231,25.6,50.1
